Title,Location,Salary,Job Type1,Job Type2,Job Type3,Job Description
Assistant Manager Network Administrator,Gujranwala,,,,,"['In-depth knowledge of Cisco routers, switches, and other networking devices, including their configurations, functionalities, and command-line interface (CLI) operations.', 'Understanding the concepts covered in the CCNA certification, such as network fundamentals, LAN switching technologies, routing technologies, WAN technologies, network services (DHCP, DNS, NAT), network security, and automation and programmability.', 'Proficiency in configuring and troubleshooting routing protocols (e.g., OSPF, EIGRP, BGP) and switching technologies (e.g., VLANs, STP, EtherChannel) on Cisco devices.', 'Development and maintenance of network documentation.', 'CCTV System Management and efficient running of CCTV.', 'Design & Maintain Networks, Effective & efficient running of the network, Implementing & Monitoring Network Security.', 'Requirements:', ""Bachelor's degree in Computer Science, IT, or a relevant field."", 'Proven experience of 3 to 4 years.', 'In-depth knowledge of Cisco and CCNA', 'Job Type: Full-time']"
Area Sales Manager,Gujranwala,,,,,"["" Bachelor's degree in Business Administration or a related field"", ' Proven experience in sales management, preferably in the fashion retail industry', 'Job Type: Full-time', 'Pay: Rs100,000.00 - Rs150,000.00 per month']"
Field Supervisor Required For Gujranwala (FA/BA Pass),Gujranwala,,Contract,,,"['Vital Tech Vision is based on Cavalry Ground, Cantt Lahore.', 'A resident of nearby Dera Ghazi Khan will be the preferred candidates.', 'We are looking for a Fresh ', ' to join our team and support the day-to-day site visit and correspondence. Know about android mobile use, Motorcycle operate etc.', 'Job Types: Full-time, Contract']"
"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD",Pakistan,,,,,[]
React Native Developer,Gujranwala,,,,,['Job Type: Full-time']
"DAE (Electrical,Electronics&IT)",Gujranwala,"Rs 10,000 - Rs 20,000 a month",Full-time,Internship,Contract,"['Electronic Systems, Electronics Troubleshooting, Electronic Testing Design, Project Management, Quality Focus, Database Design, Analyzing Information , Reporting Research Results, Attention to Detail, Emphasizing Excellence, Innovation', '3 Month Unpaid Internship', '3 Month Probation (Paid)', '1 year employment contract', '3 Month Probation (Paid)', '1 year Employment Contract', 'Job Types: Full-time, Internship, Contract', 'Pay: Rs10,000.00 - Rs20,000.00 per month']"
Experienced Laravel Vue Developer [Remote],Gujranwala,"Rs 40,000 - Rs 80,000 a month",Full-time,Part-time,,"['Technotz is an innovative IT visionary company that empowers businesses with comprehensive development solutions.', ""Our team of seasoned developers and designers meticulously blends creativity with technical prowess, ensuring that every project we undertake is a testament to our commitment to excellence. We craft stunning and functional websites, create user-centric mobile applications, and engineer cutting-edge software products. Our innovative approach to IT development is characterized by agility, transparency, and quality. We believe that the synergy between your vision and our expertise is the catalyst for transformative innovation. Join us and let's build the future."", 'Role Description', ""We are looking for an experienced Laravel Vue Developer to join our team on a full-time/part-time remote basis. As a Laravel Vue Developer, you will be responsible for developing and maintaining high-quality web applications using Laravel and Vue.js. You will work closely with the project manager, designers, and other developers to ensure that our solutions meet and exceed our clients' expectations. You will also be responsible for testing, debugging, and troubleshooting as necessary to ensure that our applications are performing optimally."", 'Qualifications', '4+ years of experience in development', '3+ years of experience in Laravel framework development', '1+ years of experience in Vue.js development', 'Experience with MySQL database design and optimization', 'Experience with RESTful API development', 'Experience with version control systems such as Git', 'Strong understanding of software development principles and practices', 'Experience test-driven development (TDD)', 'Excellent problem-solving skills and attention to detail', 'Excellent written and verbal communication skills', ""Bachelor's degree or higher in computer science or a related field"", 'Have the understanding of deploying code on server/cpanel easily', 'Job Types: Full-time, Part-time', 'Pay: Rs40,000.00 - Rs80,000.00 per month', 'Expected hours: 20 – 50 per week', 'Experience:']"
WordPress Developer (Fullstack),Gujranwala,"Rs 40,000 - Rs 70,000 a month",Full-time,,,"['As a WordPress Developer, you will be responsible for designing, implementing, and maintaining WordPress websites. You will work closely with our design, content, and marketing teams to create user-friendly, visually appealing, and high-performing websites. Your role will involve both back-end and front-end development, including creating WordPress themes and plugins.', 'Job Type: Full-time', 'Pay: Rs40,000.00 - Rs70,000.00 per month', 'Experience:', 'Location:']"
Python Developer,Gujranwala,"Rs 25,000 - Rs 40,000 a month",Full-time,Contract,,"['Develop, test and maintain high-quality software using Python programming language. Participate in the entire software development lifecycle, building, testing and delivering high-quality solutions. Collaborate with cross-functional teams to identify and solve complex problems.', 'A Python developer should possess a basic knowledge of how their code will work during release or deployment environments. After learning about its architecture, they can distinguish and resolve the problems in the core framework to obtain optimized and excellent results.', 'Job Types: Full-time, Contract', 'Pay: Rs25,000.00 - Rs40,000.00 per month']"
FTTH Executive,Gujranwala,"Rs 60,000 - Rs 80,000 a month",Full-time,,,"['PTCL Required E', 'Plan, implement, report and keep follow up of Technical audit/Evaluation of all NEs of PTCL Network aimed at assessing Quality of Service of each NE.', '· Conduct inspection of ongoing development works in the field of Access Network (Copper & Fiber) to ensure their implementation as per PTCL standards.', '· Ensure every addition in each existing network element or entirely new system is tested in accordance with the approved PAT documents and prescribed procedures.', '· Prepare checklists and works for their continual improvement for use in technical audit through preventive maintenance and routine inspection of different NEs of PTCL network.', '· Schedule, implement, reports and keep follow up of Provisional Acceptance Testing (PAT) of Access Network (Copper) offered by Development wing.', 'Conduct Technical Evaluation of OSP (Access Network Copper) including Electrical testing of U/G cables, physical survey of OSP (MDF, Manholes, U/G cables, Cabinets, DPs, Loops)', 'Report preparation of Weekly/Monthly activities carried out by all zones of QA throughout PTCL.', 'Report generation and follow up for improvement of QOS of OSP.', 'Qualification: Gradution Compulsory BS in Telecome/IT/Electrical', 'Experience: 2years in Relevent Field', 'Job Type: Full-time', 'Pay: Rs60,000.00 - Rs80,000.00 per month', 'Education:', 'Experience:']"
WordPress Developer,Gujranwala,,Internship,,,"['Fresh and Experienced wordpress developer', 'Must have knowledge of website development', 'E-commerce store development', 'Job Types: Full-time, Internship', 'Education:']"
"User Experience Lead, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
"Full Stack Engineer, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
PHP Developer,Gujranwala,,,,,"['We are hiring a mid-level Laravel Developer for our client. You should have minimum 1 to 2 years of experience in Laravel Development for this position.', 'Skills and Qualifications', 'Job Type: Full-time']"
"Lead Software Engineer, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
"Machine Learning Specialist, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
Graphic designer,Gujranwala,"Rs 20,000 - Rs 35,000 a month",Full-time,,,"['Job Title: Graphic Designer', 'Location: Gujranwala', 'Job Type: Full-time', 'Key Responsibilities:', 'Design and produce marketing materials including flyers, brochures, banners, online ads, and social media graphics.', 'Collaborate with the marketing team to develop branding strategies for new travel packages.', 'Stay up-to-date with the latest design trends and techniques.', 'Qualifications:', 'Proficient in Adobe Creative Suite (Photoshop, Illustrator, InDesign).', 'Job Type: Full-time', 'Pay: Rs20,000.00 - Rs35,000.00 per month']"
"Lead Software Engineer, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
"Software Architect, IgniteTech (Remote) - $100,000/year USD",Pakistan,,,,,[]
Testing Engineer,Gujranwala,"Rs 20,000 - Rs 40,000 a month",Full-time,,,"['· Respond to all Pre-Sales and After Sales technical queries assigned by manager/head of department.', '· Provide services related to Cable Fault and Route Location.', '· Provide AC Hipot Services', '· Energy meter Testing', '· Provide Demonstration and After Sales Trainings, Execute Inspections & Provide after sale services as assigned by manager/department head', '· Delivering of equipment at customer’s location.', '· Supervise all drawings related company power infrastructure.', '· Develop and Share Monthly Inspection Report of Company Power Infrastructure along with Further Recommendations.', '· Perform Energy Audit on Annual Basis after working hours.', '· Equipment handling & carrying is purely under the responsibility of engineer.', '· Perform all jobs/tasks assigned by the manager/supervisor/department head.', '· Share daily activity report, weekly planning & Monthly Achievement Report.', 'Job Type: Full-time', 'Pay: Rs20,000.00 - Rs40,000.00 per month', 'Application Question(s):', 'Education:', 'Experience:']"
Customer Premises Associate (Qila Didar Sing) DAE Electrical/ electronics/ telecom,Gujranwala,"Rs 32,000 a month",Full-time,,,"['Gender: Male', 'Age Limit :32 or below', 'Job Type: Feild Work', 'Salary :32k', 'Timing Morning Shift (Mon - Sat)', 'Qualification Must held DAE of 3Years (Electronics/Electrical/Telecom/IT)', 'Location PTCL Lahore,', 'Additional Benefits', 'Medical Insurance (Employee+ Family)', 'Job Type: Full-time', 'Pay: Rs32,000.00 per month', 'License/Certification:']"
Solar Coordinator,Gujranwala,"Rs 20,000 - Rs 30,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs20,000.00 - Rs30,000.00 per month', 'Education:', 'Experience:', 'Application Deadline: 25/08/2023']"
NEXT JS PROGRAMMER,Gujranwala,,,,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity for a ', ' position with the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs50,000.00 - Rs150,000.00 per month', 'Experience:']"
Computer Sciences/Software PhD and M.phil,Gujranwala,,,,,"['Role Description', 'This is a full-time on-site role for a faculty in the School of Engineering & Applied Sciences (SEAS). The faculty member will be responsible for teaching and research in their area of their specialization as well as engaging in community service & contributing to the overall development of the university. The role involves mentoring and advising students, developing and delivering course materials, and participating in university committees and activities.', 'Positions', 'Discipline', 'Qualifications', 'Job Type: Full-time', 'Pay: Rs80,000.00 - Rs200,000.00 per month', 'Ability to Commute:', 'Ability to Relocate:']"
educational counseller intern,Gujranwala,"Rs 10,000 - Rs 20,000 a month",Full-time,,,"['We are seeking a Foreign Education Counselor intern to join our team and provide guidance and support to students who are interested in pursuing higher education abroad. The ideal candidate will have excellent communication skills, be willing to undergo rigorous on-the-job training about international education, and be passionate about helping students achieve their academic goals. We offer excellent salary packages, including performance bonuses on a monthly, quarterly and annual basis.', 'If you are passionate about international education and helping students achieve their academic goals, we encourage you to apply for this exciting opportunity as a Foreign Education Counselor.', 'Job Type: Full-time', 'Pay: Rs10,000.00 - Rs20,000.00 per month']"
Customer Premises Associate DAE Electrical/ electronics/ telecom,Gujranwala,"Rs 32,000 a month",Full-time,,,"['Gender: Male', 'Age Limit :32 or below', 'Job Type: Feild Work', 'Salary :32k', 'Timing Morning Shift (Mon - Sat)', 'Qualification Must held DAE of 3Years (Electronics/Electrical/Telecom/IT)', 'Location PTCL Lahore,', 'Additional Benefits', 'Medical Insurance (Employee+ Family)', 'Job Type: Full-time', 'Pay: Rs32,000.00 per month', 'License/Certification:']"
leads manager,Gujranwala,"Rs 15,000 - Rs 30,000 a month",Full-time,,,"[""A Leads Manager will be responsible for developing and executing strategies to attract, qualify, and nurture potential customers, ensuring a steady flow of high-quality leads to the sales team. They manage CRM systems, collaborate with marketing and sales teams, analyze campaign performance, and adjust strategies to optimize lead conversion rates. By leveraging market research and data analysis, they enhance lead generation efforts and drive revenue growth, playing a crucial role in a company's sales and marketing success."", 'Job Type: Full-time', 'Pay: Rs15,000.00 - Rs30,000.00 per month']"
Application Officer(Arabic Speaking),Gujranwala,"Rs 30,000 - Rs 35,000 a month",Full-time,,,"['UKEC, the United Kingdom Education Centre, is seeking a detail-oriented and efficient Data Entry Specialist to join our team as an Application Officer. As a Data Entry Specialist, you will play a crucial role in applying, managing and maintaining data related to student applications, inquiries, and administrative records. This position requires meticulous attention to detail and a commitment to accuracy.', '1. Data Entry and Management:', '2. Documentation and Record Keeping:', '3. Quality Assurance:', '4. Data Reporting:', '5. Administrative Support:', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs35,000.00 per month', 'Ability to commute/relocate:']"
Vehicle Inspector,Gujranwala,"Rs 28,000 - Rs 35,000 a month",Full-time,Commission,,"['2 Years of proven experience of vehicle maintenance/Inspecting condition of cars/bikes including brakes, engines sound, drive, major/minor accidents vigilance.', 'Job Types: Full-time, Commission', 'Pay: Rs28,000.00 - Rs35,000.00 per month']"
Business Development Executive,Gujranwala,,Internship,,,"['Prospecting and Lead Generation', 'Able to communicate through email and instant messaging with clients', 'Good English communication', 'Eager to learn new things', 'Job Types: Full-time, Internship']"
Digital Marketing Executive,Gujranwala,,,,,"['Pitch marketing promotion ideas and deliver effective campaigns mapped to business objectives. Responsible for user acquisition, user engagement and revenue growth from Mobile Apps via online marketing channels (website, social media, digital, emails, push notifications). Manage social media campaigns, supervise on the end-to-end process of social media content creation and performance optimization, optimizing toward higher engagements and conversions. Work cross-functionally within different verticals, such as business development, digital marketing, brand marketing to drive revenue. Must be a good researcher for new marketing tactics to implement them and grow revenue.', '-> Develop and Implement Digital Marketing Strategies:', '- Devise and execute comprehensive digital marketing strategies aligned with company objectives.', '- Utilize a mix of channels, including SEO, SEM, social media, email marketing, and content creation.', '-> Social Media Management:', '- Oversee and enhance our social media presence across platforms.', '- Plan and execute targeted advertising campaigns on LinkedIn.', '- Create compelling content, run campaigns, and engage with the audience to foster brand loyalty.', 'Job Type: Full-time']"
Graphic Designer,Gujranwala,,,,,"['Requirements:', 'Job Type: Full-time']"
Internal Auditor,Gujranwala,"Rs 35,000 - Rs 50,000 a month",Full-time,,,"['Internal Auditor is the individual that will be scrutinizing the books and accounts of the company personally, he is accountable to the Manager Internal Audit and the responsibilities of the position require to:', '● Disclose or declare any impairment to independence or objectivity that may exist.', '● Thoroughly examine all business affairs of the location during an internal audit.', '● Thoroughly examine all Sale and Purchase vouchers of Foreign Currencies with reference to Time, Amount, Stamp and CNIC requirement for the transactions.', '● Counting physical cash of stock.', '● Carefully examine all inward and outward remittance vouchers.', '● Maintain the accuracy of all remittances vouchers in terms of timing, amount, receiver/sender name and CNIC, expiry of CNIC, and agent’s and customer’s signature.', '● Maintain the addition of supporting documents with all Assets and expenses voucher', '● Assure proper filing.', '● Conform to all requirements according to the rules and regulations of State Bank of Pakistan, e.g. notice board, Fire extinguisher, currency rates etc.', '● Perform assigned tasks in an independent and self-directed fashion.', '● Complete assigned tasks in a timely, thorough, accurate and well-documented manner.', '● Submit all completed work papers to the Head of Audit for final review and approval.', '● Complete other tasks as assigned.', '● Conduct audits in a professional manner at all times; avoiding those situations that would lead to criticism by the area being audited.', '● Assume a friendly and cooperative demeanor with the audited area’s staff.', '● Report all disagreements to the Manager Internal Audit.', '● Conduct work so as to minimize disruption of the audited area’s workflow or ability to service their customers.', '● Acquaint oneself with the premises, responsible employees, and the location of records early in the auditing process.', '● Safeguard all files / records that have been entrusted to the Auditor’s possession.', '● Return all files / records to the person/area they were obtained from.', '● Maintain all records in the same or better condition than that in which they were found.', '● Retain all records on premises and never remove vital documents from the premises.', '● Return all documents taken to the Internal Auditor’s work area to the records custodian by the end of the day if such return is requested.', '● Work with external Auditors to help reconcile discrepancies or support the external auditing function.', '● Identify improper accounting or documentation and research issues and make recommendations to improve policies or procedures accordingly.', '● Audit the accounting and financial data of the organization to ensure accuracy and compliance with government guidelines and laws.', '● Develop a familiarity with the organization and functions of the locations to be audited.', '● Preemptively plan the audit in accordance with the scope and complexity of the area under review.', '● Ensure that an assessment of risks is incorporated into, or forms the basis of all audit work planned and performed.', '● Accept responsibility and accountability for the audit work performed on assigned projects.', '● Ensure that audit findings and recommendations made during the course of the audit are promptly communicated to the audit committee', '● Ensure that all Worksheets issued are properly constructed, supported, and communicated.', '● Ensure that all objectives have been accomplished and all conclusions are properly supported as work papers are completed.', '● Ensure that the audit or review is conducted with the least amount of disruption to the audited area as possible.', '● Draft and seek approval for a formal Audit Report.', '● Finalize the audit file(s), and ensure that all supporting documentation is properly retained.', 'Job Type: Full-time', 'Pay: Rs35,000.00 - Rs50,000.00 per month', 'Ability to commute/relocate:']"
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD",Pakistan,,,,,[]
Senior NEXT JS PROGRAMMER,Gujranwala,,,,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity for a ', ' position with the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs150,000.00 - Rs200,000.00 per month', 'Experience:']"
Experienced International Educational Counsellor,Gujranwala,,,,,"['We are actively seeking a seasoned and meticulously organized professional to join our team as an International Educational Counsellor. In this role, you will play a crucial part in facilitating the admissions process for students aspiring to pursue higher education abroad. The ideal candidate will exhibit a readiness to undergo comprehensive on-the-job training focused on the intricacies of the international education admissions process and possess a genuine passion for guiding students toward their academic aspirations.', 'If you are a highly motivated, detail oriented individual with a genuine passion for international education, we invite you to apply for this exciting opportunity as an Educational Consultant. Join us in making a difference in the lives of students as they embark on their academic journeys abroad.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs150,000.00 per month', 'Application Question(s):']"
"Software Architect, IgniteTech (Remote) - $100,000/year USD",Punjab,,,,,[]
[Remote] Digital Growth Marketer: Content Marketing & Business Development,Gujranwala,"Rs 20,000 - Rs 40,000 a month",Full-time,Contract,,"['Are you a dynamic and ambitious marketer with a passion for driving growth in a fast-paced startup environment?', 'Are you a master of resourcefulness, capable of achieving remarkable results even with limited budgets?', 'If you thrive on challenges, embrace innovation, and possess a strong drive to make a significant impact, we have an exciting opportunity for you!', 'We are seeking a Digital Growth Marketer to join our team and spearhead our user acquisition and retention efforts.', 'As a key member of our marketing team, you will play a pivotal role in developing and executing growth strategies that fuel our expansion in both B2B and B2C markets.', 'This role requires a unique blend of creativity, data-driven decision-making, and a resilient mindset to overcome obstacles and achieve outstanding outcomes.', 'As a Digital Growth Marketer, you will work closely with a team of highly driven individuals, including our founders, who are visionary leaders with a relentless pursuit of success.', ""Your ability to collaborate effectively, adapt to changing priorities, and think outside the box will be crucial in supporting their vision and driving the company's growth."", 'Cudy Technologies is an innovative startup based in the vibrant city of Singapore. With a strong focus on technology and a drive for expansion, we operate in up to 10 countries, leveraging our in-house product development and operations to create impactful solutions.', ""As a lean startup, we believe in doing more with less. Our low headcount fosters a close-knit team environment where every individual's contribution is highly valued. Our automated and highly systematic approach allows us to optimize our workflows, maximizing efficiency and delivering exceptional results."", ""At Cudy Technologies, we don't limit ourselves to a single industry. We thrive on the diversity of our ventures, operating in various sectors such as Education, Services, Entertainment, and more. This cross-industry exposure offers endless opportunities for learning, growth, and professional development."", 'We are fueled by an unwavering ambition to make a significant impact in the markets we operate in. Our team is driven by a shared vision to revolutionize industries, disrupt traditional norms, and create innovative solutions that meet the evolving needs of our customers.', 'Joining our team means being part of a dynamic and forward-thinking environment. We encourage our team members to think outside the box, challenge the status quo, and embrace new ideas. As a member of Cudy Technologies, you will have the opportunity to make a tangible difference and leave your mark on our exciting journey.', 'If you are a highly ambitious individual seeking a stimulating and growth-oriented work environment, Cudy Technologies is the place for you. Join us as we continue to push boundaries, break barriers, and shape the future of industries through our innovative solutions.', '1. Remote work flexibility: Enjoy the freedom of working from anywhere as our startup embraces a 100% remote work culture. Say goodbye to commuting and embrace a flexible work-life balance.', '2. Work during office hours: Maintain a structured routine by working during designated office hours. This ensures effective collaboration and communication with team members, creating a sense of camaraderie despite the remote setup.', '3. Contactability and responsiveness: Stay connected with team members and clients during work hours, fostering real-time communication and ensuring efficient collaboration. Being reachable at all times helps maintain seamless workflows and client satisfaction.', '4. Flexible non-paid time off: Take advantage of our flexible non-paid time off policy, subject to approval. This allows you to plan personal commitments or breaks according to your needs, empowering you to achieve a healthy work-life integration.', '5. Minimal meetings: Unlike traditional office environments, we believe in minimizing unnecessary meetings. This allows you to focus more on impactful work, increasing productivity and reducing time spent in unproductive discussions.', '6. Upskilling opportunities: Gain a competitive edge and enhance your professional growth with full access to our comprehensive learning resources. Our commitment to upskilling empowers you to stay at the forefront of industry trends and build valuable expertise.', '7. Highly optimized work environment: Experience the efficiency and convenience of our software and automated work environment. We leverage cutting-edge tools and technology to streamline processes, eliminating unnecessary manual work and optimizing productivity.', '8. Accountability and attendance: Remote work time and screen tracking help ensure transparency, accountability, and fair evaluation. It promotes a results-oriented culture and allows you to showcase your dedication and achievements.', '1. Develop and execute growth marketing strategies to acquire and retain users/customers in both B2B and B2C segments.', '2. Implement low-budget or zero-budget user acquisition tactics, leveraging growth hacking techniques and proven channels.', '3. Conduct outreach through drip campaigns, email marketing, and other growth hack channels to attract and engage potential users/customers.', '4. Manage B2B operations, including online client communication, understanding their needs, and providing solutions to drive conversions and revenue.', '5. Manage B2C operations, engaging with online users on various platforms, building brand awareness, and driving user acquisition.', '6. Oversee and manage social media channels, including content creation, scheduling, community management, and performance analysis.', '7. Utilize AI tools and generative content platforms to create engaging and relevant content in various formats (text, images, videos, etc.) for marketing campaigns.', '8. Implement social media group hacking strategies to tap into relevant communities, engage with target audiences, and drive organic growth.', '9. Leverage personal networks for user testing and acquisition, reaching out to contacts for feedback, referrals, and potential partnerships.', '10. Monitor and analyze key metrics to measure the effectiveness of marketing campaigns, user acquisition channels, and overall growth strategies.', '11. Continuously experiment, optimize, and pivot marketing tactics based on data-driven insights to achieve better outcomes.', '12. Collaborate with cross-functional teams, including product, sales, and customer support, to align marketing efforts and drive business growth.', '13. Stay up-to-date with the latest trends and best practices in growth marketing, digital advertising, and technology advancements, applying them to enhance marketing strategies.', ""14. Search engine optimization (SEO) to improve organic visibility and drive traffic to the company's website or online platforms."", '15. Conversion rate optimization (CRO) to improve user experience, optimize landing pages, and increase conversion rates.', '16. Content marketing and storytelling to create engaging narratives and compelling content that resonates with the target audience.', '17. Influencer marketing and partnerships to leverage the reach and credibility of industry influencers and relevant brands.', '18. Data analysis and reporting to track KPIs, generate insights, and provide regular reports on the performance of marketing initiatives.', '19. A/B testing and experimentation to optimize marketing campaigns, landing pages, and user flows.', '20. Customer segmentation and targeting to identify and tailor marketing efforts to specific user/customer segments.', ""I's important that you possess a strong foundation in digital marketing, a growth-oriented mindset, and a willingness to learn and adapt to the provided tools and technologies. Emphasizing on the ability to think creatively, be resourceful, and demonstrate a track record of achieving growth with limited resources."", '1. Proven experience: Minimum 2-3 years of experience in growth marketing, digital marketing, or a related field, preferably in a startup or technology-driven environment.', '2. Growth mindset: A strong passion for growth hacking, experimentation, and finding innovative ways to acquire and retain users/customers with limited resources.', '3. Knowledge of growth hacking techniques: Familiarity with growth hacking methodologies, tools, and proven channels for low-budget or zero-budget user acquisition.', '4. Digital marketing expertise: Proficiency in various digital marketing channels, including social media, email marketing, content marketing, SEO, and online advertising (Google Ads, Facebook Ads, etc.).', '5. Technical skills: Experience using marketing automation tools, AI content generation platforms, and social media management tools. Willingness to learn and adapt to new software and technologies provided by the startup.', '6. Analytical mindset: Strong analytical skills with the ability to analyze data, derive insights, and make data-driven decisions to optimize marketing strategies and campaigns.', '7. Creativity and content creation: Ability to generate creative ideas for content marketing and develop engaging content in various formats (text, images, videos) using AI tools and other software provided.', '8. Communication and reporting: Excellent written and verbal communication skills to effectively communicate marketing strategies, campaign progress, and outcomes to stakeholders. Ability to prepare regular reports and presentations.', '9. Collaboration and adaptability: Strong teamwork and collaboration skills to work effectively with cross-functional teams. Adaptability to a fast-paced startup environment with changing priorities.', '10. Self-motivated and proactive: Ability to work independently, take ownership of projects, and drive initiatives forward with minimal supervision.', ""11. Knowledge of B2B and B2C marketing: Understanding of both B2B and B2C marketing dynamics, customer journeys, and strategies relevant to the startup's target audiences."", '12. Knowledge of SEO and CRO: Basic knowledge of search engine optimization (SEO) principles and conversion rate optimization (CRO) strategies to improve online visibility and conversion rates.', '13. Passion for technology and startups: Keen interest in the tech industry, startups, and emerging trends in digital marketing and growth hacking.', '14. Proficiency in Generative AI tools: Familiarity with generative AI tools and platforms is highly desirable. The ability to harness the power of generative AI for various purposes, such as content creation, design, or automation, will be a valuable skillset in our innovative and tech-driven environment.', '15. Strong technical aptitude: While not mandatory, having a basic understanding of programming concepts and the ability to collaborate effectively with the engineering team is a plus. This will facilitate seamless communication and cooperation, enabling the implementation of cutting-edge solutions and efficient problem-solving.', 'Please note that the first round of interviews for this position at Cudy Technologies will be conducted remotely via video recording. We believe this approach allows candidates to showcase their skills and experience at their convenience while maintaining the efficiency of the hiring process. We value your time and flexibility, and this remote interview format enables us to reach candidates from diverse locations and backgrounds.', 'Rest assured that we will provide clear instructions on how to proceed with the remote interview process and ensure a seamless experience. We look forward to getting to know you better through this initial stage and identifying the potential for a successful collaboration.', 'In the second round of interviews at Cudy Technologies, you will have the unique opportunity to engage directly with our founder. As a visionary leader, our founder plays a pivotal role in shaping the direction and success of our company. This interview is a chance for you to showcase your skills, align with our vision, and demonstrate your potential contribution to our ambitious goals.', 'Join Cudy Technologies, where innovation and growth intersect. We are seeking ambitious individuals who share our values and passion for technology, ready to make a lasting impact in a supportive and collaborative startup environment.', 'Job Types: Full-time, Contract', 'Contract length: 12 months', 'Pay: Rs20,000.00 - Rs40,000.00 per month', 'Experience:', 'Language:']"
"Software Architect, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
"Python Developer, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
"Principal Software Engineer, IgniteTech (Remote) - $100,000/year USD",Punjab,,,,,[]
"Full Stack Developer, IgniteTech (Remote) - $60,000/year USD",Punjab,,,,,[]
"Software Development Engineer, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
"Senior User Experience Designer, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
"Senior Software Engineer, gt.school (Remote) - $100,000/year USD",Punjab,,,,,[]
"Principal Designer, Trilogy (Remote) - $60,000/year USD",Punjab,,,,,[]
Electrical Engineer,Gujranwala,"Rs 15,000 - Rs 35,000 a month",Full-time,,,"[' Electrical Engineer', ' Gujranwala', 'BSc Electrical engineering', '/ Experienced', 'The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Type: Full-time', 'Pay: Rs15,000.00 - Rs35,000.00 per month', 'Application Question(s):', 'Education:', 'License/Certification:']"
"Full stack Developer, Totogi (Remote) - $60,000/year USD",Punjab,,,,,[]
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD",Pakistan,,,,,[]
Solar Technician,Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,Contract,,"['As a Solar Installer, you will assemble, install, and maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. The Solar Installer will work as part of a team to safely and successfully complete solar installations.', 'Job Types: Full-time, Contract', 'Pay: Rs15,000.00 - Rs25,000.00 per month', 'Application Question(s):', 'Education:']"
Senior .NET/DATABASE PROGRAMMER,Gujranwala,,,,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity with the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs150,000.00 - Rs200,000.00 per month']"
Required Staff Nurse/ Clinical Assistant/Ayaa,Gujranwala,"Rs 35,000 a month",Full-time,,,"[""Holistic Healthcare is a Home Nursing care company working since 2006 providing a variety of medical services at people's doorstep. We are looking for a "", '. We offer 10 hours and 16 hours (live-in) duty to our staff. Only serious candidates are encouraged to apply by sending their CVs through WhatsApp at (View phone number). Shortlisted Candidates will be called for an interview within a week.', 'Job Type: Full-time', 'Pay: Up to Rs35,000.00 per month', 'Experience:', 'License/Certification:']"
